Tree No.,Tree species,dbh [cm],h [m],x [m],y [m]
5006,Fagus sylvatica,69.1,43.1,14.866,139.798
5102,Fagus sylvatica,15.5,13.4,20.826,128.095
5104,Fagus sylvatica,30.4,37.3,19.234,121.671
5108,Fagus sylvatica,19.6,21.2,11.638,123.133
5201,Fagus sylvatica,41.6,36,19.783,113.571
5202,Fagus sylvatica,15.9,12.8,20.657,110.255
5203,Fagus sylvatica,59,34.3,18.797,117.405
5208,Fagus sylvatica,37.8,40.5,12.327,118.617
5304,Larix decidua,39.3,38,14.973,105.38
5306,Fagus sylvatica,10.3,9.2,14.647,99.928
5402,Fagus sylvatica,15.2,23.2,18.081,95.236
5403,Fagus sylvatica,27.6,30.9,17.834,93.158
5404,Fagus sylvatica,13.3,15.2,14.346,93.375
5405,Fagus sylvatica,70.5,36.6,14.27,97.561
5407,Fagus sylvatica,50.6,39.8,12.6,91.297
5501,Picea abies,36.5,31.2,19.125,89.224
5506,Fagus sylvatica,42.6,35.5,18.332,85.569
5508,Fagus sylvatica,70.3,37.7,16.16,81.645
5511,Fagus sylvatica,44.4,34.8,13.174,83.18
5602,Fagus sylvatica,18.4,24.7,18.832,73.253
5606,Fagus sylvatica,23.5,22.7,14.736,78.558
5613,Fagus sylvatica,49.5,36,10.735,71.978
5701,Fagus sylvatica,42.9,36,19.068,64.407
5703,Larix decidua,37.7,37.5,16.918,65.663
5705,Picea abies,43.5,37.1,16.254,69.203
5706,Fagus sylvatica,37.9,36.1,15.034,62.849
5802,Fagus sylvatica,26.1,26.4,17.964,54.572
5803,Fagus sylvatica,56.2,38,17.093,57.942
5806,Fagus sylvatica,15.3,15.4,15.853,52.384
5808,Fagus sylvatica,20.7,22.7,12.108,57.843
5809,Fagus sylvatica,54.4,32.9,12.192,53.527
5810,Quercus rubra,49.6,36.9,12.577,52.9
5812,Fagus sylvatica,19.9,16.7,10.471,55.072
5901,Fagus sylvatica,50.1,35.5,18.703,46.894
5903,Fagus sylvatica,42.8,30.5,15.919,41.34
5905,Picea abies,38,28.9,12.014,43.573
6001,Larix decidua,48.7,36.4,10.77,136.461
6004,Quercus rubra,69.8,38.5,4.803,137.229
6103,Larix decidua,54.1,37.4,10.735,121.362
6104,Fagus sylvatica,74.9,42.2,8.7,127.426
6106,Fagus sylvatica,24.4,23.5,5.614,121.67
6109,Fagus sylvatica,49.9,35.3,1.414,122.99
6203,Fagus sylvatica,47.2,34.5,7.231,113.91
6206,Fagus sylvatica,63.4,34.2,2.444,114.975
6302,Larix decidua,51.8,42.4,10.315,101.274
6303,Quercus rubra,71.3,36,6.296,104.857
6304,Quercus rubra,52.7,33.7,6.429,100.314
6403,Fagus sylvatica,66,45.5,8.362,93.327
6405,Quercus rubra,57.9,35.8,1.903,94.571
6505,Fagus sylvatica,15.9,18.1,4.688,83.518
6507,Quercus rubra,54,41.1,2.997,88.846
6602,Picea abies,41.9,35,7.561,72.156
6604,Fagus sylvatica,42.1,35,7.048,77.668
6607,Larix decidua,34.8,34.5,4.331,70.775
6608,Larix decidua,51,37.2,3.505,76.648
6609,Fagus sylvatica,55.3,37,2.46,78.107
6701,Larix decidua,35,35.8,8.621,65.313
6703,Quercus rubra,54,34.8,7.237,60
6704,Fagus sylvatica,16.6,19.4,6.154,63.99
6708,Fagus sylvatica,44.5,30.2,1.561,65.361
6710,Quercus rubra,44.4,35.1,0.047,60.059
6802,Betula pendula,42.9,20.2,8.223,51.109
6803,Quercus rubra,59.2,34.3,1.115,53.278
6804,Quercus rubra,61.9,39.1,2.342,49.455
6903,Fagus sylvatica,14.4,17.9,6.209,47.066
6904,Fagus sylvatica,35.6,34.8,6.102,41.718
6907,Quercus rubra,49.5,33.1,0.856,44.891
11001,Picea abies,36.1,39.7,55.016,35.868
11004,Picea abies,51.3,39.1,53.321,37.612
11007,Fagus sylvatica,53.5,38.8,51.233,29.31
11102,Fagus sylvatica,14.7,13.8,55.852,24.316
11105,Larix decidua,45,39.9,52.973,26.736
11108,Picea abies,37.3,33.1,52.369,22.684
11112,Fagus sylvatica,31.5,29.1,48.841,25.318
11210,Fagus sylvatica,37.5,33.6,53.868,13.234
11309,Fagus sylvatica,38.6,35.2,49.857,7.594
21003,Fagus sylvatica,27.1,28.4,47.019,29.502
21004,Picea abies,50.4,39.4,46.301,37.108
21006,Fagus sylvatica,29.2,37,41.715,35.865
21103,Fagus sylvatica,80,40.3,42.846,28.035
21208,Fagus sylvatica,64.4,39.3,40.334,15.944
21303,Fagus sylvatica,58.2,38.6,44.565,3.646
21306,Fagus sylvatica,17.2,21.7,42.247,7.687
21307,Fagus sylvatica,55.5,37.6,40.687,5.82
31002,Fagus sylvatica,13.6,17,37.306,33.317
31104,Fagus sylvatica,50.6,37.7,29.818,24.308
31204,Fagus sylvatica,46,39,35.706,13.548
31205,Fagus sylvatica,33.7,41.4,32.209,17.588
31207,Fagus sylvatica,63.2,39.2,32.182,12.213
31209,Fagus sylvatica,50.6,41.3,31.232,15.91
31305,Fagus sylvatica,59.7,38.6,34.365,4.67
41006,Fagus sylvatica,40.4,38.5,22.058,39.192
41101,Fagus sylvatica,44.5,38.8,26.618,19.838
41103,Fagus sylvatica,38.4,40.4,22.657,24.468
41104,Fagus sylvatica,32.4,38.5,21.837,20.001
41105,Fagus sylvatica,48.9,41.7,20.09,22.528
41201,Picea abies,47.1,39.1,26.853,16.821
41203,Fagus sylvatica,60.8,40.3,25.365,9.337
41208,Fagus sylvatica,54.3,39.1,20.879,16.574
41309,Fagus sylvatica,38,35.2,22.008,7.308
51002,Fagus sylvatica,66.1,41.7,17.799,32.321
51005,Fagus sylvatica,51.2,41.5,16.348,37.097
51006,Fagus sylvatica,24.6,23.5,16.824,30.352
51008,Fagus sylvatica,42.9,33.5,14.592,34.127
51009,Larix decidua,64.8,38.9,12.747,37.326
51011,Fagus sylvatica,21.8,24.5,9.979,37.681
51101,Fagus sylvatica,15.1,15.8,17.661,21.73
51105,Larix decidua,47.9,41.3,14.362,27.412
51111,Fagus sylvatica,45.7,37.7,11.282,21.667
51201,Fagus sylvatica,45.5,32.4,17.967,18.58
51202,Fagus sylvatica,49.4,43.6,16.608,10.528
51205,Fagus sylvatica,15.9,16.5,12.675,17.765
51301,Larix decidua,28.7,33.8,17.469,3.904
51304,Larix decidua,58.1,39.8,15.353,0.414
51311,Fagus sylvatica,63.4,42.4,10.835,0.501
61001,Fagus sylvatica,42.6,30.4,9.596,35.445
61002,Fagus sylvatica,35.7,34,7,38.291
61005,Larix decidua,62,36.7,4,34.156
61007,Fagus sylvatica,25.8,24.4,3.152,31.548
61101,Fagus sylvatica,19.5,20.8,6.439,28.558
61102,Fagus sylvatica,59.1,34.9,7.324,25.301
61103,Fagus sylvatica,20.2,21,3.704,24.58
61105,Fagus sylvatica,47.2,34,1.529,21.472
61201,Fagus sylvatica,18.4,18,9.408,16.161
61203,Fagus sylvatica,39.1,38.3,8.464,18.493
61204,Fagus sylvatica,43.9,38.9,7.891,16.174
61207,Fagus sylvatica,49.1,38.9,1.505,15.576
61305,Fagus sylvatica,45.8,40.7,4.107,3.806
61306,Fagus sylvatica,42,31.8,2.256,2.492
61307,Fagus sylvatica,73.4,42.9,1.709,7.683
